Region	Catchment	Transect	Transect_code	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41
PGM	100	1	100_1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	4	0	1	2	0	4	0	0	1	0	1	10	0	0	0	0	0	5	1	0	0	0	0	0	0
PGM	100	10	100_10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	2	0	0	0	1	1	0	4	0	1	0	0	0	0
PGM	100	2	100_2	0	0	0	0	0	0	4	2	0	0	0	4	2	0	2	0	0	0	0	2	0	6	1	0	0	0	0	12	1	0	0	0	0	1	4	0	0	0	0	0	0
PGM	100	3	100_3	0	0	0	0	0	0	5	1	0	3	1	0	0	0	2	0	10	0	0	0	0	0	1	0	0	4	0	13	0	0	0	2	0	4	1	0	0	0	2	0	0
PGM	100	4	100_4	0	0	0	0	0	0	4	2	0	1	2	0	0	0	4	0	0	0	0	1	0	2	4	0	0	1	0	6	0	0	0	0	1	1	0	0	0	0	1	0	0
PGM	100	5	100_5	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1
PGM	100	6	100_6	0	0	0	0	0	0	11	0	0	1	0	1	0	0	1	0	6	0	0	0	0	5	1	0	0	1	0	5	0	0	3	3	0	4	1	0	0	0	0	0	0
PGM	100	7	100_7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PGM	100	8	100_8	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	100	9	100_9	0	0	0	0	0	0	11	6	2	1	1	0	0	0	3	0	5	0	0	6	0	7	2	0	0	0	0	3	0	0	0	0	1	2	2	0	0	0	0	0	0
PGM	142	1	142_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0
PGM	142	11	142_11	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
PGM	142	12	142_12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PGM	142	13	142_13	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	142	2	142_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM	142	3	142_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
