"Transect_code" "Aboveground_pool" "Litter_pool" "Dead_pool" "Soil_pool_new"
"100_1" 0 5.579299759 4.190460285 52.73
"100_10" 7.432500062 4.861653868 1.456190358 42.45
"100_2" 6.864978064 4.603716458 8.465086831 98.4
"100_3" 71.32717881 7.368430526 30.33734163 83.86
"100_4" 0 8.173004014 21.88752029 68.16
"100_5" 113.9018125 11.46235454 39.46632225 62.28
"100_6" 114.2628193 10.93126196 34.01747769 48.99
"100_7" 67.26518608 8.124264002 6.379161365 46.84
"100_8" 0.872835645 4.135653224 19.18686503 58.1
"100_9" 15.15094662 8.421195098 11.20559814 60.45
"142_1" 87.80951782 8.125422855 26.47313805 54.49
"142_11" 0.386795401 2.350434531 0 81.56
"142_12" 125.3605733 7.277265874 14.74334435 90.36
"142_13" 18.86652831 9.861049868 6.493806272 79.26
"142_2" 49.21298605 10.5862277 28.27507076 48.36
"142_3" 128.0383727 7.926171224 32.35022397 56.93
"142_4" 140.5845921 7.947101555 28.8529712 63.26
"142_5" 257.9174932 10.03462455 12.52165956 112.4
"142_6" 75.65209617 5.378503089 10.09423548 135.39
"142_7" 1.621393913 4.090196093 0.003638632 77.28
"142_8" 0 1.033371333 0 77.86
"142_9" 0.343305756 2.610210956 3.954801773 70.51
"147_1" 99.28677709 7.962112801 25.51310297 66.07
"147_11" 133.8508354 13.01900159 40.16646297 66.94
"147_12" 0 1.6371045 0 29.49
"147_13" 1.291180966 10.38420165 1.120053655 71.27
"147_14" 0 4.783865251 1.043133926 135.5
"147_2" 91.58682293 10.62582237 22.241313 82.76
"147_3" 92.79769929 9.881861285 23.07462569 66.61
"147_4" 58.38936055 7.942864868 2.960952302 90.19
"147_5" 112.5821201 11.46897237 28.33026808 110
"147_7" 123.28103 6.868869272 49.6035425 95.7
"147_8" 126.4020745 9.862605933 11.89223738 66.9
"152_1" 37.32723572 10.76443705 2.013668443 75.87
"152_10" 0.950552749 1.201193636 0.971525435 35
"152_11" 0.287158777 1.005472707 1.885023884 35.13
"152_12" 0 0.187264588 1.050143599 44.1
"152_2" 34.36265568 8.405241831 2.050289177 59.04
"152_3" 47.45366323 6.504976879 3.641900357 41.67
"152_4" 58.20168765 12.76903137 7.341484291 44.09
"152_5" 0.005107374 2.66931856 0.028163037 60.52
"152_6" 55.05138079 12.46017329 2.598850305 86.22
"152_7" 10.60047011 9.250552096 2.754294838 44.62
"152_8" 46.44217225 12.98515428 6.192704416 47.96
"152_9" 0.024421159 1.43072 0 34.49
"202_1" 83.92342096 10.69646621 23.93181484 57
"202_12" 0 1.65152 0 53.83
"202_13" 71.38053808 11.06040731 10.83888848 58.54
"202_14" 36.83486607 7.698089251 0.338586873 40.21
"202_2" 41.10912059 10.99054456 4.235351669 99.11
"202_3" 0 0 0 47.53
"202_4" 40.41692168 4.802315868 0.008284639 108.99
"202_5" 0 0 0 38.2
"202_6" 0 0 0 70.11
"202_7" 0.301372709 1.924821333 0.124615132 62.14
"202_8" 0 1.95156 0 83.9
"202_9" 0 0.002473333 0 34.81
"235_1" 128.3159716 10.38609815 13.32360176 65.38
"235_10" 0 1.8339968 0.207676047 60
"235_11" 0 0 0 57.63
"235_12" 0 0 0 40.81
"235_3" 54.60363254 9.317715003 30.53377727 60.27
"235_4" 60.01028391 15.12183163 6.532373417 79.37
"235_5" 30.02362811 12.40604853 0.22539012 40.34
"235_6" 0 2.744989 0.078112406 60.34
"235_7" 0.018206817 1.80596 0 74.33
"235_8" 0 1.15032 0 62.16
"245_1" 0.06906707 0.86416 0 34
