"Transect_code" "Aboveground_pool" "Litter_pool" "Dead_pool" "Soil_pool_new"
"103_1" 107.0494683 4.90705542 8.083441749 66.34
"103_2" 38.47250797 6.322680011 1.428901631 59.38
"103_3" 78.75858696 4.408595554 9.899871276 63.49
"103_4" 0 0.66265069 1.027490757 54.09
"103_5" 36.78408026 5.444015022 1.531471307 58.66
"103_7" 154.250465 6.354724737 2.527440974 158.43
"103_8" 106.4306665 5.274916237 4.577075494 63.29
"103_9" 0.70573043 2.15768 0 59.2
"112_1" 0 0 0 45.5
"112_11" 0 0 0 46.42
"112_12" 122.0910718 4.425263227 13.69880118 56.02
"112_2" 5.410861669 3.53208 0 61.53
"112_3" 64.90449501 5.233171076 11.14414826 59.15
"112_4" 5.884654663 1.58056 13.10279236 63.8
"112_5" 0 0 4.28319844 52.51
"112_6" 116.7926859 6.230714575 7.935955777 56.38
"112_7" 0 0 0 58.5
"112_8" 122.3756224 5.581802964 29.73722218 66.85
"112_9" 5.385899437 1.48572 0 47.74
"125_10" 188.5738549 7.09566133 18.99541655 59.59
"125_12" 0 2.06332 0 46.85
"125_2" 0 0 0 49.37
"125_3" 0 2.18804 0 58.4
"125_5" 39.33808535 6.220889148 2.767789397 52.49
"125_6" 41.49817367 4.986875554 3.240421725 47.65
"125_8" 0 0 0 42.19
"125_9" 93.68575089 6.991841923 35.71634877 50.13
"129_10" 54.76632258 4.403568018 6.529671067 58.35
"129_11" 57.8686274 5.398307611 5.403745137 60.59
"129_12" 0 0 0 53.35
"129_2" 88.06962907 6.907943968 5.797519497 56.24
"129_3" 57.41738407 5.753734211 5.699253663 56.42
"129_5" 71.05444372 5.48533069 11.03133747 41.32
"129_6" 0.084426347 1.66828 0 57.18
"129_7" 0 0 0 53.04
"129_8" 0 0 0 39.82
"129_9" 0 2.11668 0 54.66
"157_1" 155.7970171 6.425861296 81.82427616 51.83
"157_11" 0.134089785 5.030815681 6.748740126 53.76
"157_2" 70.31530112 4.577891682 22.3855186 45.84
"157_3" 134.997054 5.076615067 23.52387287 56.12
"157_4" 227.3680304 5.844778797 10.48913978 49.7
"157_5" 137.8188378 6.191115255 30.49652244 55.57
"157_6" 188.7960043 8.073065469 5.013260628 59.49
"157_7" 0.074292288 0 0 54.58
"157_8" 92.03300593 5.645136196 4.361423051 45.68
"160_10" 164.0334409 4.171221118 4.173844907 52.19
"160_11" 48.21105548 5.352747435 8.248131362 67.97
"160_12" 0 1.30008 0 55.63
"160_5" 63.6202492 4.198552182 8.451487992 54.06
"160_8" 91.59730369 4.395294264 7.391004868 54.31
"160_9" 153.6723849 5.637851704 14.15245297 46.3
"165_1" 66.05097633 3.905290411 11.25264309 34.66
"165_2" 126.6218981 6.54314586 11.06423997 38.8
"165_3" 102.9093477 5.212713113 19.66921454 29.93
"165_4" 212.6774805 6.068536666 9.792321457 50.3
"165_5" 272.3430088 4.08921076 11.67582491 104.9
"165_6" 123.7958951 4.997103737 11.93808732 31.52
"165_7" 92.23580534 4.562982538 10.97900385 24.16
"165_8" 44.14408769 4.348151552 11.58478594 26.06
"199_1" 0 0 0 32.17
"199_2" 0 NA 0 NA
"199_3" 93.15160564 6.443959318 36.2781659 33.85
"199_4" 3.126934911 3.34296 0.640737468 36.81
"199_5" 0.389686828 0 0.064397814 39.39
"199_6" 69.62019735 5.744358642 5.511125006 53.85
"199_8" 0.150718121 3.997410544 1.489140866 32.76
"199_9" 74.70239381 6.697987602 4.028928772 42.23
"236_1" 0 3.37596 0 65.57
"236_2" 163.1393118 5.274374817 46.07428502 50.35
"236_3" 266.2345872 5.402821781 12.94334684 57.4
"236_4" 35.57615939 6.517832694 53.43726347 62.27
"236_5" 142.7673695 5.071563697 7.971544225 47.73
"236_6" 163.8530236 6.247537547 42.02023588 52.57
"236_7" 135.9131821 3.583122379 43.27433441 52
"236_8" 0 0 0 67.89
"236_9" 0 0 0 41.38
"260_1" 159.2814961 7.257671835 24.94997739 54.81
"260_10" 0 2.26976 0 44.32
"260_2" 59.25063761 6.620181585 10.3328587 52.12
"260_3" 195.9981787 6.356982424 46.89077261 59.7
"260_4" 184.3160949 7.588621534 7.87880957 63.46
"260_5" 137.7634921 5.814056766 19.31876724 61.31
"260_6" 141.0063299 7.319502965 21.42897829 50.3
"260_7" 0 0 0 40.14
"260_8" 0.048467646 3.13916 0 46.55
"260_9" 0 2.4894 0 27.58
"261_1" 155.4583937 5.467006216 3.827109197 44.75
"261_10" 147.2392627 5.214163951 17.18530198 59.34
"261_11" 204.4774483 7.172642565 10.04046894 54.75
"261_12" 131.7673506 5.136706404 24.63085422 60.59
"261_2" 118.218652 7.324091555 18.82655698 48.92
"261_3" 161.6487497 5.849906683 32.98634776 61.42
"261_4" 142.2371237 4.525055581 30.4614798 57.42
"261_5" 210.9035206 8.055622437 10.03591638 62.64
"261_6" 220.1527573 7.31729249 18.14928239 53.14
"261_7" 160.7727909 7.049480887 17.9149151 62.85
"261_8" 143.0119287 7.495643681 14.05292282 58.58
"261_9" 170.4564491 5.432000764 17.23384406 52.96
"307_1" 222.1064624 5.746526764 11.7581168 47.52
"307_10" 51.51417963 3.91564 1.730098112 39.22
"307_2" 255.303534 8.319236597 15.03014709 58.84
"307_3" 80.6823349 6.108470737 30.28625244 48.61
"307_5" 157.5309634 5.273602757 37.93797572 58.85
"307_6" 93.78506908 4.474421911 5.908993561 63.24
"307_7" 147.2007417 4.403626289 16.61729932 39.78
"307_9" 36.18669774 7.518257954 47.56430761 33.58
"357_1" 162.0263108 7.878000455 26.8921486 67.13
"357_10" 0 3.16176 0 58.56
"357_11" 0 1.81236 0 38.94
"357_2" 100.074686 4.928843252 31.65286374 74.25
"357_3" 43.20568587 6.372410542 5.694140228 77.24
"357_4" 19.57673746 5.679428701 4.770437102 25.35
"357_5" 144.1099235 4.881604049 22.39305064 67.6
"357_6" 31.21315803 4.407526408 1.922817383 37.39
"357_7" 0 1.380679412 3.891108854 47.36
"357_8" 0 1.074857597 2.440636305 27.41
"357_9" 38.01141849 5.719546246 11.59555569 50.49
"363_1" 252.9557866 8.099334692 33.40698648 60.16
"363_2" 131.9968621 5.494832519 15.83950686 61.87
"363_3" 242.329592 6.454612667 12.40357387 51.72
"363_4" 144.3132673 5.738959937 24.39175157 59.13
"363_5" 130.9971706 6.822168037 17.72881857 30.58
"363_6" 204.0105044 6.924092709 17.94720516 63.59
"363_7" 215.2091813 7.044648958 24.7542561 59.78
"363_8" 302.5864687 8.817756634 12.04147588 57.55
"399_10" 86.16572201 8.081404555 34.05876919 25.29
"399_11" 0.660608069 5.718139852 8.865288895 27.11
"399_12" 10.6703906 5.423909935 0.129319185 54.08
"399_13" 6.488322255 2.739802814 6.759702638 31.31
"399_3" 233.605157 8.620908184 30.42970772 38.23
"399_5" 192.107082 7.456714964 43.75811859 99.87
"399_6" 150.5223961 12.31706241 19.43497512 37.31
"399_7" 98.69707582 7.175828662 25.90486697 66.07
