"","Region","Catchment","Transect","Transect_code","pH","Nperc","P","K","Na","CaMg","Al"
"168","PGM","44",12,"44_12",5.253333333,0.06,5.133333333,24.46666667,15.13333333,2.56,0.313333333
"169","PGM","44",15,"44_15",5.4,0.06,3.333333333,23,13.53333333,2.346666667,0.233333333
"170","PGM","44",2,"44_2",5,0.25,3.733333333,55.73333333,39.93333333,2.4,1.053333333
"171","PGM","44",3,"44_3",5.277777778,0.09,3.222222222,42.11111111,31.11111111,2.055555556,0.533333333
"172","PGM","44",4,"44_4",4.277777778,0.07,4.333333333,30.22222222,25.11111111,0.566666667,1.388888889
"173","PGM","44",5,"44_5",4.606666667,0.1,4.333333333,38.93333333,24.26666667,0.846666667,1.146666667
"174","PGM","44",6,"44_6",4.526666667,0.08,7.933333333,27,17.06666667,1.9,0.633333333
"175","PGM","44",7,"44_7",5.466666667,0.07,5.666666667,37.11111111,24.44444444,2.166666667,0.3
"176","PGM","44",8,"44_8",5.366666667,0.06,3.555555556,32.22222222,19,1.633333333,0.333333333
"177","PGM","44",9,"44_9",4.866666667,0.11,5.777777778,25,16.44444444,1.988888889,0.711111111
"179","PGM","100",10,"100_10",4.773333333,0.07,5.333333333,36.06666667,27.93333333,1.16,0.826666667
"180","PGM","100",2,"100_2",4.86,0.15,2.733333333,43.6,21.86666667,2.886666667,0.893333333
"181","PGM","100",3,"100_3",4.513333333,0.14,4.933333333,46.46666667,25.33333333,2.46,1.293333333
"183","PGM","100",5,"100_5",4.38,0.11,4.133333333,31.46666667,24.33333333,1.166666667,1.3
"184","PGM","100",6,"100_6",4.406666667,0.09,2.466666667,26.66666667,20.53333333,1.12,1.146666667
"187","PGM","100",9,"100_9",4.553333333,0.11,6,58.4,41.13333333,1.993333333,0.713333333
"188","PGM","142",1,"142_1",4.653333333,0.13,3.133333333,43.33333333,35.46666667,1.78,0.913333333
"189","PGM","142",11,"142_11",5.853333333,0.16,3.066666667,87.86666667,39.26666667,4.006666667,0.173333333
"190","PGM","142",12,"142_12",4.773333333,0.18,2.866666667,36.6,27.13333333,3.106666667,1.086666667
"191","PGM","142",13,"142_13",5.133333333,0.16,2.466666667,41.13333333,27.6,2.84,0.813333333
"193","PGM","142",3,"142_3",4.56,0.11,2.8,34.8,28.8,1.366666667,1.206666667
"194","PGM","142",4,"142_4",4.76,0.13,4.266666667,30.33333333,17.93333333,1.16,1.26
"195","PGM","142",5,"142_5",5.246666667,0.23,3.866666667,93.66666667,58.53333333,4.186666667,0.373333333
"196","PGM","142",6,"142_6",5.22,0.27,4.866666667,71.93333333,42.93333333,5.373333333,0.413333333
"197","PGM","142",7,"142_7",5.6,0.17,4.777777778,96.33333333,52.77777778,6.133333333,0.211111111
"198","PGM","142",8,"142_8",5.133333333,0.13,6.111111111,43.11111111,25.66666667,2.933333333,0.322222222
"199","PGM","142",9,"142_9",5.68,0.16,4.2,66.93333333,33.13333333,4.06,0.306666667
"200","PGM","147",1,"147_1",4.92,0.19,1.2,41.46666667,24.66666667,2.626666667,0.653333333
"201","PGM","147",11,"147_11",4.3,0.2,2.133333333,41.73333333,31.6,2.293333333,0.773333333
"202","PGM","147",12,"147_12",4.58,0.07,2.733333333,22.4,14.73333333,1.926666667,0.473333333
"203","PGM","147",13,"147_13",4.866666667,0.15,1.266666667,56.33333333,33.33333333,2.373333333,0.633333333
"205","PGM","147",2,"147_2",5.486666667,0.21,1.6,68.2,43.6,4.68,0.42
"206","PGM","147",3,"147_3",4.866666667,0.19,1.266666667,48.4,35.46666667,2.306666667,0.58
"207","PGM","147",4,"147_4",4.48,0.22,3.333333333,48.06666667,40.46666667,2.78,0.926666667
"208","PGM","147",5,"147_5",4.055555556,0.25,5.444444444,54.11111111,52.88888889,1.311111111,2.377777778
"209","PGM","147",7,"147_7",4.533333333,0.25,4.2,65.13333333,47.46666667,3.426666667,0.973333333
"210","PGM","147",8,"147_8",4.733333333,0.19,1.4,38.4,26.8,1.873333333,0.826666667
"211","PGM","152",1,"152_1",4.111111111,0.14,6.111111111,30.11111111,24,0.733333333,1.666666667
"212","PGM","152",10,"152_10",4.955555556,0.07,5.777777778,41.66666667,27.33333333,1.5,0.711111111
"213","PGM","152",11,"152_11",4.9,0.09,3.444444444,128.1111111,88.11111111,3.744444444,3
"214","PGM","152",12,"152_12",5.188888889,0.09,4.555555556,36.77777778,34.33333333,1.111111111,0.822222222
"215","PGM","152",2,"152_2",4.455555556,0.11,8.222222222,53.66666667,34.11111111,0.933333333,1.166666667
"216","PGM","152",3,"152_3",4.025,0.08,14.125,38.75,25.625,1.1625,1.2375
"217","PGM","152",4,"152_4",4.133333333,0.08,6.333333333,43,33.22222222,0.877777778,1.488888889
"218","PGM","152",5,"152_5",4.644444444,0.12,7.555555556,32,20.11111111,1.511111111,0.8
"219","PGM","152",6,"152_6",4.166666667,0.16,8.666666667,55.44444444,42.33333333,1.144444444,2.033333333
"220","PGM","152",7,"152_7",4.511111111,0.08,6.666666667,32.11111111,19.22222222,1.444444444,0.722222222
"221","PGM","152",8,"152_8",4.244444444,0.09,6.444444444,32.66666667,21.44444444,0.744444444,1.388888889
"222","PGM","152",9,"152_9",5.188888889,0.06,5.444444444,24.77777778,20.55555556,0.755555556,0.711111111
"223","PGM","202",1,"202_1",4.866666667,0.16,1.533333333,43.2,28.33333333,2.98,0.52
"224","PGM","202",12,"202_12",5.506666667,0.14,2,61.6,35.86666667,3.253333333,0.166666667
"225","PGM","202",13,"202_13",5.006666667,0.18,1.866666667,41.46666667,28.06666667,2.78,0.613333333
"226","PGM","202",14,"202_14",4.94,0.09,4,38.8,18.4,1.646666667,0.64
"227","PGM","202",2,"202_2",5.006666667,0.27,4.6,93.33333333,60.26666667,5.953333333,0.286666667
"228","PGM","202",3,"202_3",4.673333333,0.12,2.533333333,33.13333333,22.93333333,1.713333333,0.773333333
"229","PGM","202",4,"202_4",5.211111111,0.23,6.111111111,69.77777778,40.77777778,5.522222222,0.766666667
"230","PGM","202",5,"202_5",5.213333333,0.08,3.066666667,56.73333333,27.93333333,2.013333333,0.366666667
"231","PGM","202",6,"202_6",5.126666667,0.17,4.6,89.6,43.66666667,2.946666667,0.413333333
"232","PGM","202",7,"202_7",5.593333333,0.15,2,46.86666667,24.66666667,3.94,0.16
"234","PGM","202",9,"202_9",5.36,0.09,3.666666667,64.53333333,30.86666667,2.026666667,0.266666667
"235","PGM","235",1,"235_1",4.713333333,0.17,2.333333333,42,31.86666667,2.006666667,0.986666667
"236","PGM","235",10,"235_10",5.926666667,0.15,5.066666667,41.93333333,27.46666667,3.8,0.12
"239","PGM","235",3,"235_3",5.1,0.16,1.666666667,65.73333333,34.8,3.613333333,0.32
"240","PGM","235",4,"235_4",5.266666667,0.19,3,62.4,32.53333333,4.486666667,0.353333333
"241","PGM","235",5,"235_5",4.973333333,0.09,5.066666667,34.86666667,18.66666667,1.473333333,0.7
"242","PGM","235",6,"235_6",5.593333333,0.15,6.066666667,56.4,28.73333333,2.953333333,0.286666667
"243","PGM","235",7,"235_7",5.633333333,0.19,9.8,56.13333333,29.4,4.226666667,0.2
"244","PGM","235",8,"235_8",5.7,0.15,8.2,91.26666667,52.8,3.593333333,0.2
"245","PGM","245",1,"245_1",5.155555556,0.06,3.333333333,38,26.22222222,1.644444444,0.444444444
"246","PGM","245",11,"245_11",4.58,0.15,4.2,27.73333333,29.26666667,0.68,1.62
"247","PGM","245",12,"245_12",4.973333333,0.05,8.6,40.26666667,27.73333333,1.186666667,0.473333333
"248","PGM","245",13,"245_13",5.126666667,0.04,7.2,21,15.2,1.553333333,0.62
"249","PGM","245",14,"245_14",5.213333333,0.05,6.333333333,19.33333333,14,1.693333333,0.306666667
"250","PGM","245",2,"245_2",4.422222222,0.06,5.777777778,40.11111111,28.11111111,0.588888889,1.2
"251","PGM","245",4,"245_4",4.733333333,0.07,7.466666667,35.4,26.33333333,1.026666667,1.106666667
"252","PGM","245",5,"245_5",4.58,0.08,6.8,58.46666667,39.06666667,0.94,1.46
"253","PGM","245",6,"245_6",4.666666667,0.21,3.266666667,33.53333333,27.06666667,1.32,1.466666667
"254","PGM","245",7,"245_7",4.96,0.08,5.666666667,27.53333333,22.4,1.1,0.986666667
"256","PGM","245",9,"245_9",4.866666667,0.07,5.266666667,28.26666667,21.53333333,0.606666667,0.813333333
"257","PGM","269",1,"269_1",5.146666667,0.17,1.666666667,38.6,27.86666667,3.933333333,0.44
"258","PGM","269",10,"269_10",4.213333333,0.17,4.6,38.53333333,28.86666667,1.12,1.606666667
"259","PGM","269",11,"269_11",4.393333333,0.15,5.2,34.2,25.6,0.706666667,1.653333333
"260","PGM","269",12,"269_12",5.6,0.07,7.4,28.8,14,2.606666667,0.24
"261","PGM","269",13,"269_13",5.653333333,0.15,4.4,47.53333333,23.4,4.313333333,0.233333333
"262","PGM","269",14,"269_14",4.666666667,0.06,5,41.77777778,26.33333333,1.377777778,0.633333333
"263","PGM","269",15,"269_15",5.133333333,0.08,5,18.73333333,11.86666667,2.353333333,0.333333333
"264","PGM","269",2,"269_2",4.98,0.18,1.466666667,36.46666667,27.26666667,3.286666667,0.553333333
"265","PGM","269",4,"269_4",4.54,0.16,1.733333333,33.4,25.73333333,1.66,1
"266","PGM","269",6,"269_6",5.233333333,0.15,1.666666667,38.44444444,27.22222222,2.9,0.544444444
"267","PGM","269",7,"269_7",4.533333333,0.1,5.8,24.46666667,18.8,0.72,1.146666667
"268","PGM","269",8,"269_8",4.666666667,0.09,3,23.93333333,16.46666667,0.606666667,1.133333333
"269","PGM","274",1,"274_1",5.066666667,0.13,3,35.66666667,31.77777778,1.877777778,0.766666667
"270","PGM","274",10,"274_10",5.144444444,0.14,4.666666667,75.66666667,46.66666667,3.3,0.144444444
"271","PGM","274",11,"274_11",4.866666667,0.15,5.777777778,62.22222222,42.44444444,3.1,0.422222222
"272","PGM","274",12,"274_12",4.633333333,0.13,5,50.33333333,31.55555556,1.966666667,0.711111111
"273","PGM","274",2,"274_2",5.077777778,0.17,2.111111111,45.77777778,36.88888889,3.388888889,0.355555556
"274","PGM","274",3,"274_3",4.566666667,0.15,2.555555556,56.22222222,43.77777778,2.311111111,0.922222222
"275","PGM","274",4,"274_4",5.077777778,0.15,1.888888889,58.77777778,38.55555556,3.333333333,0.4
"277","PGM","274",6,"274_6",5.077777778,0.17,1.555555556,45.33333333,32.77777778,2.155555556,0.655555556
"278","PGM","274",7,"274_7",4.577777778,0.13,2.666666667,41.33333333,27.77777778,1.6,1.122222222
"279","PGM","274",8,"274_8",5.411111111,0.14,1.333333333,41,26.77777778,4.466666667,0.355555556
"280","PGM","274",9,"274_9",5.155555556,0.13,5.555555556,73.44444444,44.88888889,3.411111111,0.288888889
"281","PGM","315",1,"315_1",4.077777778,0.08,3.555555556,27.66666667,17.44444444,0.644444444,1.244444444
"282","PGM","315",11,"315_11",5.633333333,0.14,4.666666667,67.77777778,45.77777778,4.477777778,0.2
"283","PGM","315",2,"315_2",4.5,0.15,1.777777778,41.88888889,26.22222222,1.8,0.922222222
"284","PGM","315",3,"315_3",4.3375,0.09,3.125,33.0625,53.625,0.84375,1.30625
"285","PGM","315",4,"315_4",3.888888889,0.08,5.777777778,45.11111111,28.22222222,1.288888889,1.122222222
"286","PGM","315",5,"315_5",5.433333333,0.14,3,123.4,89,3.76,0.353333333
"287","PGM","315",6,"315_6",4.622222222,0.13,2.222222222,118.6666667,68.55555556,3.133333333,0.511111111
"288","PGM","315",7,"315_7",4.726666667,0.06,3,34.33333333,40.26666667,1.44,0.606666667
"289","PGM","315",8,"315_8",5.42,0.14,3,113.6,54.13333333,3.066666667,0.3
"290","PGM","315",9,"315_9",5.133333333,0.13,3.6,55,17.13333333,3.173333333,0.333333333
"291","PGM","342",1,"342_1",4.54,0.23,4.6,53.4,25.33333333,1.226666667,1.833333333
"292","PGM","342",10,"342_10",4.053333333,0.08,4.933333333,19.26666667,19.26666667,0.486666667,1.42
"293","PGM","342",11,"342_11",4.5,0.12,5.133333333,28.33333333,24,0.566666667,1.506666667
"294","PGM","342",12,"342_12",4.26,0.17,2.333333333,32.93333333,24.73333333,0.666666667,1.66
"295","PGM","342",2,"342_2",4.173333333,0.16,2.933333333,29.4,17.93333333,0.993333333,1.713333333
"296","PGM","342",3,"342_3",4.486666667,0.17,2.666666667,26,20.6,1.033333333,1.486666667
"297","PGM","342",4,"342_4",4.353333333,0.19,5.4,41.06666667,30.8,1.713333333,1.413333333
"298","PGM","342",5,"342_5",4.533333333,0.2,3.6,33.4,32.13333333,2.62,1.18
"299","PGM","342",6,"342_6",4.06,0.07,6.266666667,33.66666667,41.86666667,0.82,1.38
"300","PGM","342",7,"342_7",4.62,0.17,2.4,51.2,55.06666667,1.766666667,1.006666667
"301","PGM","342",8,"342_8",4.44,0.17,3,56.53333333,42.13333333,1.98,1
"302","PGM","342",9,"342_9",4.533333333,0.18,2.533333333,30.86666667,21.33333333,1.706666667,1.233333333
"307","PGM","358",3,"358_3",4.746666667,0.06,5.8,43.2,18.93333333,1.293333333,0.526666667
"308","PGM","358",4,"358_4",4.986666667,0.18,1.933333333,48.33333333,30,3.233333333,0.5
"309","PGM","358",5,"358_5",4.673333333,0.14,1.333333333,40.26666667,26.8,1.466666667,1.006666667
"310","PGM","358",6,"358_6",4.306666667,0.05,4.333333333,19.2,10.6,0.786666667,0.706666667
"311","PGM","358",7,"358_7",4.94,0.06,5.4,27.6,15.8,1.853333333,0.413333333
"313","PGM","358",9,"358_9",5.093333333,0.05,4.6,25.66666667,24.33333333,2.026666667,0.28
"314","PGM","369",1,"369_1",5.188888889,0.14,2,48.22222222,32.22222222,4.155555556,0.488888889
"315","PGM","369",10,"369_10",4.533333333,0.09,4.111111111,27.33333333,25,0.677777778,1.233333333
"316","PGM","369",11,"369_11",4.8,0.1,5,77,59.22222222,3.044444444,0.788888889
"317","PGM","369",12,"369_12",4.788888889,0.1,3.333333333,38.77777778,35.55555556,1.366666667,0.633333333
"318","PGM","369",13,"369_13",5.111111111,0.12,3.333333333,57.22222222,52.11111111,2.155555556,0.666666667
"319","PGM","369",3,"369_3",4.233333333,0.13,1.333333333,32.11111111,23.55555556,0.744444444,1.777777778
"320","PGM","369",4,"369_4",4.666666667,0.13,1,22.88888889,20.44444444,0.666666667,1.1
"321","PGM","369",5,"369_5",4.688888889,0.18,2,45.11111111,26.11111111,3.211111111,0.622222222
"322","PGM","369",6,"369_6",4.777777778,0.17,3.444444444,41.77777778,31.44444444,3.622222222,0.577777778
"323","PGM","369",7,"369_7",4.644444444,0.16,3,47.11111111,46.11111111,2.411111111,0.933333333
"324","PGM","369",8,"369_8",4.522222222,0.15,3.222222222,34.77777778,28.66666667,2.155555556,1.055555556
"325","PGM","423",1,"423_1",4.711111111,0.06,4.444444444,35.11111111,39.11111111,1.388888889,0.733333333
"326","PGM","423",10,"423_10",5.111111111,0.16,3.222222222,64.88888889,46.88888889,4.377777778,0.322222222
"327","PGM","423",11,"423_11",4.866666667,0.15,4.555555556,79.22222222,51.11111111,3.1,0.388888889
"328","PGM","423",12,"423_12",4.933333333,0.14,3.444444444,46.66666667,29.44444444,3.088888889,0.511111111
"329","PGM","423",13,"423_13",4.644444444,0.05,4.777777778,22.66666667,12.55555556,0.744444444,0.6
"332","PGM","423",5,"423_5",4.511111111,0.19,3.888888889,82.33333333,66.11111111,2.877777778,0.988888889
"333","PGM","423",6,"423_6",4.622222222,0.05,2.555555556,24.55555556,16.88888889,1.255555556,0.533333333
"334","PGM","423",7,"423_7",4.611111111,0.16,2.111111111,43,30.66666667,2.311111111,0.833333333
"335","PGM","423",8,"423_8",4.244444444,0.04,5.555555556,15.11111111,14.66666667,0.566666667,0.722222222
"336","PGM","423",9,"423_9",4.455555556,0.07,3.777777778,24.88888889,31,1.444444444,0.811111111
"337","PGM","443",1,"443_1",5.113333333,0.05,4.933333333,28.73333333,20.66666667,2.353333333,0.313333333
"339","PGM","443",2,"443_2",4.406666667,0.07,4.066666667,30,22,1.28,0.726666667
"340","PGM","443",3,"443_3",4.833333333,0.05,5.533333333,22.86666667,13.66666667,1.746666667,0.326666667
"341","PGM","443",4,"443_4",4.626666667,0.05,3,20.93333333,21.8,0.76,0.72
"342","PGM","443",5,"443_5",5.586666667,0.06,5.4,58,33.53333333,3.326666667,0.146666667
