"","Region","Catchment","Transect","Transect_code","pH","Nperc","P","K","Na","CaMg","Al"
"1","STM","103",1,"103_1",3.86,0.19,5,31.93333333,15,0.506666667,2.853333333
"2","STM","103",2,"103_2",4.526666667,0.18,3.2,42.8,18,2.746666667,0.966666667
"3","STM","103",3,"103_3",3.846666667,0.19,4.733333333,31.26666667,16.66666667,0.893333333,2.606666667
"4","STM","103",4,"103_4",4.58,0.17,3.466666667,33.26666667,16.53333333,1.806666667,1.246666667
"5","STM","103",5,"103_5",4.16,0.15,4.266666667,30.33333333,22.13333333,1.593333333,1.353333333
"6","STM","103",7,"103_7",4.126666667,0.42,3.133333333,18.06666667,7.733333333,0.426666667,3.106666667
"7","STM","103",8,"103_8",4.033333333,0.2,2.933333333,40.8,20.2,1.506666667,2.193333333
"8","STM","103",9,"103_9",4.86,0.16,4.666666667,64.8,23.8,3.42,0.853333333
"9","STM","112",1,"112_1",4.886666667,0.15,6.933333333,45.8,14.46666667,2.54,0.646666667
"10","STM","112",11,"112_11",4.886666667,0.16,6.733333333,72.53333333,22.86666667,2.74,0.6
"11","STM","112",12,"112_12",3.933333333,0.18,3.866666667,24.13333333,14.4,1.2,1.646666667
"12","STM","112",2,"112_2",4.48,0.16,2.533333333,24.2,12.73333333,2.313333333,1.08
"13","STM","112",3,"112_3",4.326666667,0.19,2.333333333,19.93333333,9.466666667,2.246666667,0.926666667
"14","STM","112",4,"112_4",4.806666667,0.2,2.533333333,35.73333333,11.8,3.293333333,0.673333333
"15","STM","112",5,"112_5",4.646666667,0.15,2.2,25.8,13.66666667,1.746666667,0.98
"17","STM","112",7,"112_7",6.4,0.17,14.73333333,103.2666667,47.2,6.626666667,0.093333333
"18","STM","112",8,"112_8",3.813333333,0.18,5.666666667,27.06666667,17.6,1.026666667,2.26
"19","STM","112",9,"112_9",4.953333333,0.15,2.4,28,12.2,2.506666667,0.793333333
"20","STM","125",10,"125_10",3.726666667,0.18,4.866666667,32.13333333,23.6,0.726666667,2.246666667
"21","STM","125",12,"125_12",5.166666667,0.14,8.2,58.33333333,24.4,4.046666667,0.326666667
"22","STM","125",2,"125_2",4.933333333,0.17,6.266666667,28,13.26666667,3.493333333,0.413333333
"23","STM","125",3,"125_3",4.36,0.17,3.866666667,32.26666667,23.06666667,1.593333333,1.093333333
"24","STM","125",5,"125_5",4.433333333,0.18,2.133333333,21.2,10.4,2.14,1.28
"25","STM","125",6,"125_6",4.546666667,0.16,2.4,17.73333333,9.866666667,2.506666667,0.92
"26","STM","125",8,"125_8",4.646666667,0.14,5.066666667,47.73333333,25.93333333,2.926666667,0.593333333
"27","STM","125",9,"125_9",4.04,0.17,4.4,30.06666667,15.6,1.613333333,1.786666667
"28","STM","129",10,"129_10",4.34,0.19,2.933333333,24.93333333,16.33333333,1.966666667,1.226666667
"29","STM","129",11,"129_11",4.6,0.16,2.733333333,24.8,20.26666667,2.426666667,1.333333333
"30","STM","129",12,"129_12",5.08,0.15,5.133333333,51.93333333,20.86666667,3.9,0.4
"31","STM","129",5,"129_5",4.073333333,0.14,4,16.26666667,6.933333333,1.14,1.526666667
