"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"1","STM",69,1,"69_1","MA",6,8,3,0,0,0,12.71060456,186.8666667,698.6666667,121.424,4.53863,NA
"2","STM",69,2,"69_2","SFold",31,36,19,7,50,54,34.4298788,165.9333333,628,140.1,3.6445,NA
"3","STM",69,3,"69_3","PA",18,14,6,0,0,0,39.9950224,229.8,624,145.4,2.83341,NA
"4","STM",69,4,"69_4","PA",40,45,8,0,0,2,15.42288557,167.7333333,638.6666667,102.785,0.585011,NA
"6","STM",69,6,"69_6","SFyoung",31,41,26,5,45,24,33.4,171.2666667,408,121.274,5.76568,NA
"7","STM",69,7,"69_7","PA",25,22,9,0,0,0,29.51388889,171.2666667,588,126.593,3.75685,NA
"8","STM",69,8,"69_8","LF",25,60,14,10,52,51,34.20203524,135.5333333,662.6666667,135.461,4.33831,NA
"10","STM",69,10,"69_10","SFold",24,32,13,16,51,46,18.5176004,154.6,654.6666667,123.786,2.96867,NA
"11","STM",69,11,"69_11","LBF",28,27,26,16,54,47,20.62546538,131.5333333,478.6666667,100.982,1.66395,NA
"13","STM",81,2,"81_2","LBF",20,40,20,6,53,43,22.11442786,127.6666667,761.3333333,111.295,5.79698,NA
"14","STM",81,3,"81_3","LBF",18,44,12,16,76,66,42.9245283,143.7333333,732,111.578,8.89704,NA
"15","STM",81,6,"81_6","MA",9,22,12,0,0,0,6.274900398,176,760,88.0624,4.81449,NA
"16","STM",81,7,"81_7","SFold",23,32,10,17,50,43,33.05970149,134.6,717.3333333,106.029,3.35563,NA
"17","STM",81,8,"81_8","PA",19,24,5,0,0,0,11.00871731,205.9333333,485.3333333,83.3424,2.29947,NA
"18","STM",81,9,"81_9","LBF",25,47,17,7,47,63,36.70411985,137,618.6666667,88.0933,2.42157,NA
"19","STM",81,10,"81_10","PA",26,19,9,0,0,0,32.2973645,155.2666667,684,115.515,4.77894,NA
"20","STM",81,11,"81_11","SFold",22,47,14,14,59,51,44.03692615,142.3333333,804,142.361,2.10723,NA
"21","STM",81,15,"81_15","LF",13,43,24,8,42,65,85.04742886,128.6666667,814.6666667,143.141,5.38805,NA
"23","STM",99,3,"99_3","PA",18,31,5,0,3,0,29.64623817,214.6666667,701.3333333,123.566,6.50693,NA
"24","STM",99,4,"99_4","SFyoung",20,14,15,2,36,25,22.96555167,201.0666667,701.3333333,145.221,1.52935,NA
"25","STM",99,5,"99_5","PA",30,27,13,0,0,0,11.76177423,126.8666667,432,73.3367,1.93927,NA
"26","STM",99,6,"99_6","SFold",23,26,18,6,48,38,12.50310713,139.5333333,768,112.406,6.52225,NA
"27","STM",99,7,"99_7","SFold",20,21,17,4,42,39,34.45878848,160.6,649.3333333,113.173,5.81306,NA
"28","STM",99,8,"99_8","SFyoung",21,30,17,8,49,36,30.35803083,179.4666667,748,107.627,4.48219,NA
"29","STM",99,9,"99_9","PA",27,26,8,0,0,0,24.61461959,205.1333333,721.3333333,106.509,8.48505,NA
"30","STM",99,10,"99_10","SFyoung",20,36,16,14,53,35,33.28332083,166.5333333,784,144.765,1.35504,NA
"31","STM",99,11,"99_11","SFyoung",35,42,15,0,22,0,24.30952973,75.2,258.6666667,97.4732,6.31145,NA
"33","STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,36.73826174,176.1333333,794.6666667,150.581,1.00192,NA
"34","STM",103,3,"103_3","SFold",35,45,23,7,44,38,38.77241728,146.2,818.6666667,170.672,2.23298,NA
"35","STM",103,4,"103_4","PA",32,30,11,0,0,0,25.78960458,165.7333333,813.3333333,168.124,2.40037,NA
"36","STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,23.07883611,200.8,773.3333333,169.071,1.20009,NA
"37","STM",103,8,"103_8","SFold",37,50,21,5,59,43,21.29144852,165.7333333,813.3333333,172.263,2.184,NA
"38","STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,27.47882412,228.8666667,681.3333333,154.129,0.73445,NA
"39","STM",112,1,"112_1","MA",10,9,7,0,0,0,12.8243513,186.8,764,138.954,6.54554,NA
"41","STM",112,3,"112_3","SFold",22,50,18,16,56,37,37.39151996,117.8,797.3333333,163.412,4.02261,NA
"42","STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,9.269872913,147.9333333,792,143.894,4.92614,NA
"43","STM",112,5,"112_5","PA",14,10,5,0,0,0,26.74302789,128.6666667,829.3333333,151.944,4.00873,NA
"44","STM",112,7,"112_7","PA",16,31,8,0,0,0,21.71855542,253.5333333,653.3333333,147.27,2.02732,NA
"45","STM",112,8,"112_8","LF",23,44,21,15,70,83,49.04904905,129.2666667,818.6666667,143.448,10.3262,NA
"47","STM",112,11,"112_11","MA",0,8,7,0,0,0,11.57580284,168.2,801.3333333,131.523,0.275105,NA
"48","STM",112,12,"112_12","LF",23,62,20,8,43,60,62.50309176,137.2,800,139.031,1.76476,NA
