"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"STM",103,1,"103_1","AP",31.31338115,194.0714286,782.8571429,168.359,1.25086
"STM",103,2,"103_2","SFinter",36.73826174,176.1333333,794.6666667,150.581,1.00192
"STM",103,3,"103_3","Sfold",38.77241728,146.2,818.6666667,170.672,2.23298
"STM",103,4,"103_4","PA",25.78960458,165.7333333,813.3333333,168.124,2.40037
"STM",103,5,"103_5","SFinter",23.07883611,200.8,773.3333333,169.071,1.20009
"STM",103,7,"103_7","AP",53.22661331,302.2666667,458.6666667,186.09,1.61498
"STM",103,8,"103_8","SFold",21.29144852,165.7333333,813.3333333,172.263,2.184
"STM",103,9,"103_9","SFinter",27.47882412,228.8666667,681.3333333,154.129,0.73445
"STM",112,1,"112_1","MA",12.8243513,186.8,764,138.954,6.54554
"STM",112,11,"112_11","MA",11.57580284,168.2,801.3333333,131.523,0.275105
"STM",112,12,"112_12","PFlog",62.50309176,137.2,800,139.031,1.76476
"STM",112,2,"112_2","FRU",19.83143282,156.9333333,774.6666667,154.437,5.01439
"STM",112,3,"112_3","SFold",37.39151996,117.8,797.3333333,163.412,4.02261
"STM",112,4,"112_4","SFyoung",9.269872913,147.9333333,792,143.894,4.92614
"STM",112,5,"112_5","PA",26.74302789,128.6666667,829.3333333,151.944,4.00873
"STM",112,7,"112_7","PA",21.71855542,253.5333333,653.3333333,147.27,2.02732
"STM",112,8,"112_8","PFlog",49.04904905,129.2666667,818.6666667,143.448,10.3262
"STM",112,9,"112_9","FRU",14.38902743,222.0666667,732,139.492,3.46392
"STM",125,10,"125_10","PFbur",70.56051587,145.0666667,737.3333333,145.75,10.6478
"STM",125,12,"125_12","MA",3.112549801,218.8,768,130.824,2.05885
"STM",125,2,"125_2","MA",3.306812531,434.8666667,546.6666667,142.3,0.485776
"STM",125,3,"125_3","PA",17.75956284,175.2,802.6666667,103.672,5.49483
"STM",125,5,"125_5","SFinter",12.75167785,241,718.6666667,118.365,4.09188
"STM",125,6,"125_6","SFold",22.52925068,256.6666667,718.6666667,136.046,1.23544
"STM",125,8,"125_8","MA",45.02982107,187.8,794.6666667,146.661,1.77297
"STM",125,9,"125_9","PFlog",58.4,119.0666667,825.3333333,154.137,3.21726
"STM",129,10,"129_10","PFlogbur",27.31332176,143.1333333,794.6666667,112.97,3.17764
"STM",129,11,"129_11","SFold",43.68787276,180.4,754.6666667,119.922,3.72949
"STM",129,12,"129_12","MA",25.35421327,221.3333333,725.3333333,129.683,2.78649
"STM",129,5,"129_5","PFlogbur",41.35787118,150.8,582.6666667,96.7326,6.34254
