Region	Catchment	Transect	Transectcode	UTM_X	UTM_Y	Land-useclass	Forest_type	Productiontype	LU_FT_Code	Buffersize(pixels)	reg_age	reg_fire	reg_fire_age	NumberLogC	NumberBurnC	deg_full	def_age	total_arable	EDGE2_DIST_MEAN	ed1_1km	foresttype1_1km	UPF_foresttype1_1km	MF_FCCP_500mbuffer	CANOPY	DUFF	SPECIES	AGB_Trees10	AGB_DeadTREES10	AGB_CWD	AGB_FWD	AGB_LeafLitter	UND_DEN	WOOD_DEN	DAMAGED	pH_ALL	SILT_ALL	CLAY_ALL	C_0_30	C_N	PC1soilnutALL	PC2soilnutALL	PC1soilnutFOR	PC2soilnutFOR	PC1soilnutPF	PC2soilnutPF	PC1soilnutOPEN	PC2soilnutOPEN	ELEV_MEAN	SLOPE_MEAN
STM	103	1	103_1	730352	9705652	Abandoned_plantation	NA	NA	AP	82	NA	NA	NA	NA	NA	NA	>20	0	2550.25	15.6714	31.31338115	0.473933649	0.348746971	10.76	6.646	32	193.6512353	2.48652091	4.169670503	1.421710839	8.3924	3460	0.486182582	10	3.86	194.0714286	782.8571429	66.336	13.90726662	0.934498452	-1.56958395	NA	NA	NA	NA	-2.414113943	-3.251625467	168.359	1.25086
STM	103	2	103_2	729806	9701458	Secondary_forest	Intermediate	NA	SFinter	79	16.5	0	0	NA	NA	NA	>20	NA	427.458	22.0718	36.73826174	73.69136642	0.172241184	9.584	0.878	86	35.29000362	0.159703383	1.844334704	1.034560023	11.6108	6200	0.586589027	3	4.526666667	176.1333333	794.6666667	59.382	11.69567662	-1.227798848	0.734968227	-0.681044817	-3.213419964	NA	NA	NA	NA	150.581	1.00192
STM	103	3	103_3	729758	9703154	Secondary_forest	Old	NA	Sfold	75	>20	0	0	NA	NA	NA	>20	NA	1542.56	35.169	38.77241728	0	0.288035361	12.954	3.42	73	135.8443604	2.081620131	10.78095177	2.247191108	6.57	3300	0.567179216	29	3.846666667	146.2	818.6666667	63.494	12.51659221	0.640498879	-1.332185329	1.335101098	0.272341591	NA	NA	NA	NA	170.672	2.23298
STM	103	4	103_4	732165	9703776	Pasture	NA	NA	PA	83	NA	NA	NA	NA	NA	NA	>20	0	2715.23	21.5804	25.78960458	0	0.150337567	100	0	1	0	0	1.82144239	1.325301381	0	20	0	0	4.58	165.7333333	813.3333333	54.092	12.47021735	-0.274810484	0.461629112	NA	NA	NA	NA	-0.916307936	-0.432349497	168.124	2.40037
STM	103	5	103_5	733822	9706479	Secondary_forest	Intermediate	NA	SFinter	77	8	0	0	NA	NA	NA	>20	NA	3269.05	25.1238	23.07883611	0	0.282088003	6.15	3.394	55	43.41046962	0.077029789	1.741476548	0.369550044	10.51848	4640	0.497651968	8	4.16	200.8	773.3333333	58.658	12.35173517	-0.453369131	-0.37153135	0.524530622	-1.20784038	NA	NA	NA	NA	169.071	1.20009
STM	103	7	103_7	729736	9709990	Abandoned_plantation	NA	NA	AP	77	NA	NA	NA	NA	NA	NA	9.580645161	0	52.7988	35.7953	53.22661331	86.37218045	0.117565504	12.042	2.472	50	295.5045531	0.717601611	1.717973555	3.284089473	9.42536	2000	0.541613679	8	4.126666667	302.2666667	458.6666667	158.43	16.99688055	2.626176976	-0.695846703	NA	NA	NA	NA	-3.741740706	-2.938155667	186.09	1.61498
STM	103	8	103_8	736485	9708157	Secondary_forest	Old	NA	SFold	78	>20	0	0	NA	NA	NA	>20	NA	1395.43	13.2483	21.29144852	0	-0.149553481	14.334	2.072	90	192.0992757	0.332512506	7.320384479	2.031992475	8.51784	3720	0.534723069	25	4.033333333	165.7333333	813.3333333	63.294	12.18957011	-0.152734586	-0.948159368	0.971215428	-1.486748818	NA	NA	NA	NA	172.263	2.184
STM	103	9	103_9	735979	9705464	Secondary_forest	Intermediate	NA	SFinter	75	6	0	0	NA	NA	NA	>20	NA	1903.81	24.5433	27.47882412	0	0.236164103	100	0.746	9	0	0	0	0	4.31536	700	0	0	4.86	228.8666667	681.3333333	59.2	11.41586399	-3.360272471	0.033686651	1.053756603	-6.239326527	NA	NA	NA	NA	154.129	0.73445
STM	112	1	112_1	778047	9698829	Mechanisd_agriculture	NA	NA	MA	76	NA	NA	NA	NA	NA	NA	>20	9	600.084	11.4417	12.8243513	48.24902724	0.193083372	100	0	0	0	0	0	0	0	0	0	0	4.886666667	186.8	764	45.502	11.4144919	-1.90191481	0.699766903	NA	NA	NA	NA	0.469246679	0.219153364	138.954	6.54554
STM	112	11	112_11	779979	9703892	Mechanisd_agriculture	NA	NA	MA	75	NA	NA	NA	NA	NA	NA	>20	6	711.456	10.5211	11.57580284	85.59139785	0.375670424	100	0	0	0	0	0	0	0	0	0	0	4.886666667	168.2	801.3333333	46.418	10.96139946	-3.788230616	-0.348689358	NA	NA	NA	NA	1.842895673	-0.528521348	131.523	0.275105
STM	112	12	112_12	783365	9702074	Primary_forest	Logged	NA	PFlog	79	NA	NA	NA	1	0	1.265822785	NA	NA	316.158	19.5082	62.50309176	93.19351009	0.050692771	11.086	2.694	99	198.847912	1.307167195	22.06091172	1.047246455	7.80328	2600	0.593685834	18	3.933333333	137.2	800	56.016	10.77677273	0.728868877	0.116092367	-0.489429737	0.24535207	-0.992955652	-0.718915728	NA	NA	139.031	1.76476
STM	112	2	112_2	777998	9697423	Fruiticulture	NA	Lime_Orange_and_Tangerine	FRU	83	NA	NA	NA	NA	NA	NA	>20	0	548.585	16.5477	19.83143282	34.25	0.251146705	100	0.192	8	2.238434157	0	0	0	7.06416	3220	0.392903622	0	4.48	156.9333333	774.6666667	61.528	12.41828896	0.438631653	1.303804067	NA	NA	NA	NA	-1.367201639	0.278624701	154.437	5.01439
STM	112	3	112_3	781090	9695965	Secondary_forest	Old	NA	SFold	78	>20	0	0	NA	NA	NA	>20	NA	290.164	16.3337	37.39151996	43.36870027	-0.059362556	12.152	1.866	96	85.46024389	0.985746292	17.8700283	0.604502152	9.86184	4420	0.47102899	56	4.326666667	117.8	797.3333333	59.146	11.00344783	0.801720997	1.869162204	-2.876475593	-0.318289402	NA	NA	NA	NA	163.412	4.02261
