,year_1,year_2,from,to,count,km2
0,1985,1986,crop,young_sf,225,0.20249999999999999
1,1985,1986,crop,pasture,1573,1.4157
2,1985,1986,crop,crop,886309,797.6781
3,1985,1986,pasture,young_sf,17619485,15857.5365
4,1985,1986,pasture,pasture,150355037,135319.5333
5,1985,1986,pasture,crop,898,0.8082
6,1985,1986,pf,pf,4166786927,3750108.2343
7,1985,1986,pf,pasture,11970329,10773.2961
8,1985,1986,pf,crop,364,0.3276
9,1985,1986,young_sf,old_sf,0,0.0
0,1986,1987,crop,young_sf,869,0.7821
1,1986,1987,crop,pasture,867,0.7803
2,1986,1987,crop,crop,885835,797.2515
3,1986,1987,pasture,young_sf,10475912,9428.3208
4,1986,1987,pasture,pasture,151850419,136665.37709999998
5,1986,1987,pasture,crop,608,0.5472
6,1986,1987,pf,pf,4143576390,3729218.7509999997
7,1986,1987,pf,pasture,23208393,20887.5537
8,1986,1987,pf,crop,2144,1.9296
9,1986,1987,young_sf,young_sf,16818352,15136.5168
10,1986,1987,young_sf,pasture,801218,721.0962
11,1986,1987,young_sf,crop,140,0.126
12,1986,1987,young_sf,old_sf,0,0.0
0,1987,1988,crop,young_sf,145,0.1305
1,1987,1988,crop,pasture,3085,2.7765
2,1987,1988,crop,crop,885497,796.9472999999999
3,1987,1988,pasture,young_sf,12000427,10800.3843
4,1987,1988,pasture,pasture,163854449,147469.0041
5,1987,1988,pasture,crop,6021,5.4189
6,1987,1988,pf,pf,4114944398,3703449.9581999998
7,1987,1988,pf,pasture,28630067,25767.0603
8,1987,1988,pf,crop,1925,1.7325
9,1987,1988,young_sf,young_sf,21854151,19668.7359
10,1987,1988,young_sf,pasture,5440881,4896.7928999999995
11,1987,1988,young_sf,crop,101,0.0909
12,1987,1988,young_sf,old_sf,0,0.0
0,1988,1989,crop,young_sf,3140,2.826
1,1988,1989,crop,pasture,41246,37.1214
2,1988,1989,crop,crop,849158,764.2422
3,1988,1989,pasture,young_sf,21507805,19357.0245
4,1988,1989,pasture,pasture,176164866,158548.3794
5,1988,1989,pasture,crop,255811,230.2299
6,1988,1989,pf,pf,4088993876,3680094.4883999997
7,1988,1989,pf,pasture,25885947,23297.3523
8,1988,1989,pf,crop,64575,58.1175
9,1988,1989,young_sf,young_sf,28554563,25699.1067
10,1988,1989,young_sf,pasture,5294865,4765.3785
11,1988,1989,young_sf,crop,5295,4.7655
12,1988,1989,young_sf,old_sf,0,0.0
0,1989,1990,crop,young_sf,8469,7.6221
1,1989,1990,crop,pasture,57571,51.8139
2,1989,1990,crop,crop,1108799,997.9191
3,1989,1990,pasture,young_sf,21051001,18945.9009
4,1989,1990,pasture,pasture,186142027,167527.8243
5,1989,1990,pasture,crop,193896,174.50639999999999
6,1989,1990,pf,pf,4071350377,3664215.3393
7,1989,1990,pf,pasture,17617197,15855.4773
8,1989,1990,pf,crop,26302,23.6718
9,1989,1990,young_sf,young_sf,43835047,39451.5423
10,1989,1990,young_sf,pasture,6224587,5602.128299999999
11,1989,1990,young_sf,crop,5874,5.2866
12,1989,1990,young_sf,old_sf,0,0.0
0,1990,1991,crop,young_sf,5405,4.8645
1,1990,1991,crop,pasture,95619,86.05709999999999
2,1990,1991,crop,crop,1233847,1110.4623
3,1990,1991,pasture,young_sf,16578690,14920.821
4,1990,1991,pasture,pasture,193357758,174021.9822
5,1990,1991,pasture,crop,104934,94.4406
6,1990,1991,pf,pf,4052278716,3647050.8444
7,1990,1991,pf,pasture,19040387,17136.348299999998
8,1990,1991,pf,crop,31274,28.1466
9,1990,1991,young_sf,young_sf,56014651,50413.1859
10,1990,1991,young_sf,pasture,8852854,7967.5686
11,1990,1991,young_sf,crop,27012,24.3108
12,1990,1991,young_sf,old_sf,0,0.0
0,1991,1992,crop,young_sf,18950,17.055
1,1991,1992,crop,pasture,111428,100.2852
2,1991,1992,crop,crop,1266689,1140.0201
3,1991,1992,pasture,young_sf,16728648,15055.7832
4,1991,1992,pasture,pasture,204510286,184059.2574
5,1991,1992,pasture,crop,107684,96.9156
6,1991,1992,pf,pf,4029519441,3626567.4968999997
7,1991,1992,pf,pasture,22731763,20458.5867
8,1991,1992,pf,crop,27512,24.7608
